x;y;Parcela;Hdom;h_est;Sítio_l;Sitio_num;Área;OBJECTID;Fazenda
517333;6909178;5;35.3;32.1;I;1;6.843;8;Pistola 87_Pt_I
517598;6909178;4;35;32.1;I;1;7.901;9;Pistola 87_Pt_I
;;;;;;;14.744;;
518083;6909178;12;34.4;32.1;II;2;5.011;1;Pistola 87_Pt_I
518383;6909328;11;33.7;32.1;II;2;5.982;2;Pistola 87_Pt_I
518233;6909628;9;32.9;32.1;II;2;6.225;4;Pistola 87_Pt_I
517633;6909478;7;33;32.1;II;2;7.285;6;Pistola 87_Pt_I
;;;;;;;24.503;;
518533;6909478;10;31.7;32.1;III;3;3.221;3;Pistola 87_Pt_I
517333;6909478;6;31.2;32.1;III;3;4.097;7;Pistola 87_Pt_I
517933;6909028;2;30;32.1;III;3;6.627;11;Pistola 87_Pt_I
518533;6909628;1;31.8;32.1;III;3;3.007;12;Pistola 87_Pt_I
;;;;;;;16.952;;
517933;6909478;8;29.6;32.1;IV;4;8.563;5;Pistola 87_Pt_I
517333;6908878;3;28.4;32.1;IV;4;9.056;10;Pistola 87_Pt_I
;;;;;;;17.619;;
